p1,p2,p3,n1,n2,n3
0.027273,0.031773,0.02527,0.024688,0.02718,0.046581
0.031773,0.02527,0.024688,0.02718,0.046581,0.033807
0.02527,0.024688,0.02718,0.046581,0.033807,0.025228
0.024688,0.02718,0.046581,0.033807,0.025228,0.036107
0.02718,0.046581,0.033807,0.025228,0.036107,0.030299
0.046581,0.033807,0.025228,0.036107,0.030299,0.029387
0.033807,0.025228,0.036107,0.030299,0.029387,0.027945
0.025228,0.036107,0.030299,0.029387,0.027945,0.023622
0.036107,0.030299,0.029387,0.027945,0.023622,0.029193
0.030299,0.029387,0.027945,0.023622,0.029193,0.031536
0.029387,0.027945,0.023622,0.029193,0.031536,0.02822
0.027945,0.023622,0.029193,0.031536,0.02822,0.029589
0.023622,0.029193,0.031536,0.02822,0.029589,0.024761
0.029193,0.031536,0.02822,0.029589,0.024761,0.03099
0.031536,0.02822,0.029589,0.024761,0.03099,0.026874
0.02822,0.029589,0.024761,0.03099,0.026874,0.028439
0.029589,0.024761,0.03099,0.026874,0.028439,0.025366
0.024761,0.03099,0.026874,0.028439,0.025366,0.026493
0.03099,0.026874,0.028439,0.025366,0.026493,0.031203
0.026874,0.028439,0.025366,0.026493,0.031203,0.031033
0.028439,0.025366,0.026493,0.031203,0.031033,0.029268
0.025366,0.026493,0.031203,0.031033,0.029268,0.034325
0.026493,0.031203,0.031033,0.029268,0.034325,0.031002
0.031203,0.031033,0.029268,0.034325,0.031002,0.032996
0.031033,0.029268,0.034325,0.031002,0.032996,0.033184
0.029268,0.034325,0.031002,0.032996,0.033184,0.038329
0.034325,0.031002,0.032996,0.033184,0.038329,0.030473
0.031002,0.032996,0.033184,0.038329,0.030473,0.029386
0.032996,0.033184,0.038329,0.030473,0.029386,0.029898
0.033184,0.038329,0.030473,0.029386,0.029898,0.030026
0.038329,0.030473,0.029386,0.029898,0.030026,0.032314
0.030473,0.029386,0.029898,0.030026,0.032314,0.039849
0.029386,0.029898,0.030026,0.032314,0.039849,0.029477
0.029898,0.030026,0.032314,0.039849,0.029477,0.019419
0.030026,0.032314,0.039849,0.029477,0.019419,0.025989
0.032314,0.039849,0.029477,0.019419,0.025989,0.029976
0.039849,0.029477,0.019419,0.025989,0.029976,0.026392
0.029477,0.019419,0.025989,0.029976,0.026392,0.03344
